"","session","person","choice","is_other","story_1","story_2","minus_positive_sync","minus_negative_sync","minus_positive_listener_mean","minus_negative_listener_mean","negative_set_mean_corr_to_actress_1","negative_set_mean_corr_to_actress_2","postive_set_mean_corr_to_actress_1","postive_set_mean_corr_to_actress_2","nasalis_mean_corr_1","nasalis_mean_corr_2","zygomaticus_major_mean_corr_1","zygomaticus_major_mean_corr_2","frontalis_mean_corr_1","frontalis_mean_corr_2","orbicularis_oculi_mean_corr_1","orbicularis_oculi_mean_corr_2","platysima_mean_corr_1","platysima_mean_corr_2","risorius_mean_corr_1","risorius_mean_corr_2","listener_mean_negative_set_activation_1","listener_mean_negative_set_activation_2","listener_mean_positive_set_activation_1","listener_mean_positive_set_activation_2","frontalis_mean_activation_1","frontalis_mean_activation_2","nasalis_mean_activation_1","nasalis_mean_activation_2","zygomaticus_major_mean_activation_1","zygomaticus_major_mean_activation_2","orbicularis_oculi_mean_activation_1","orbicularis_oculi_mean_activation_2","platysima_mean_activation_1","platysima_mean_activation_2","risorius_mean_activation_1","risorius_mean_activation_2","minus_frontalis","minus_nasalis","minus_zygomaticus_major","minus_orbicularis_oculi","minus_platysima","minus_risorius"
"1","04122022_1545","04122022_1545_A","1","1","12","6",0.0185627103577738,0.0447595504181122,0.0911009292359608,0.157757313551321,0.413583033102075,0.378145614770174,0.402645875837046,0.38796990410961,0.425672873269734,0.419068221054963,0.449784374978547,0.383436800540115,0.389731009509969,0.381630845158506,0.402645875837046,0.38796990410961,0.367945842431085,0.377431841856484,0.459220223773066,0.378859387683863,0.332467476369901,0.241862691927781,0.658767870723127,0.548760879498773,0.461574560404416,0.542124389060341,0.794895601533315,0.621856245325378,0.225976934288379,0.136934970480715,0.658767870723127,0.548760879498773,0.244422668632483,0.227466521087198,0.42051228410732,0.256258862768364,-0.0802529769497908,0.122138084091163,0.245354210312603,0.0911009292359608,0.0359324771888874,0.242701572159558
"2","04122022_1545","04122022_1545_B","1","1","12","6",0.026487347644963,0.104113422490433,0.144886178444336,0.22764152279003,0.464450520796776,0.376858915962291,0.404656830668677,0.383773404924715,0.40396275244574,0.412843735096116,0.450552748816443,0.396763063356385,0.326630938470233,0.369008666769957,0.404656830668677,0.383773404924715,0.492606400863699,0.383875603517802,0.436294640729853,0.369842228406781,0.5918496728208,0.372356346336516,0.378265587327252,0.28252601702461,0.392478518853205,0.373863567999095,0.641205644618389,0.784027515493145,0.672894561176267,0.590188105900588,0.378265587327252,0.28252601702461,0.649023753496091,0.390886082596339,0.53467559214551,0.353826610076693,0.0242906544916117,-0.100209477909972,0.0654798434271022,0.144886178444336,0.248230819577331,0.203543650895296
"3","04122022_1545","04122022_1545_A","1","0","3","11",-0.00249984092054333,0.015177474022743,0.00615646355371668,0.0428526955991107,0.413918359057159,0.401541734668061,0.389468302589806,0.391420400123238,0.426796932068009,0.417037202785332,0.481976672078443,0.465159386229181,0.397249516658431,0.370315680031724,0.389468302589806,0.391420400123238,0.425832156385913,0.380057085677607,0.402004561728404,0.423026383658514,0.274163459417336,0.251631718701911,0.585867498643921,0.57869789424667,0.564370149531569,0.721145999481826,0.619671405816068,0.53075974648825,0.16455945690041,0.139748707408489,0.585867498643921,0.57869789424667,0.232917480630536,0.232618808916115,0.315409438204136,0.270644628487708,-0.121955566307416,0.077285510871057,0.0815316590281689,0.00615646355371668,0.000641564838505186,0.0763834128293239
"4","04122022_1545","04122022_1545_B","1","0","3","11",-0.0262856215275011,-0.0348633231715422,0.0155185988153673,-0.0845540201497681,0.379481139187106,0.406896890573656,0.401955906636826,0.423657672711543,0.405481572081647,0.433879998346279,0.355714906728631,0.423612520295804,0.336799845779621,0.345032963986348,0.401955906636826,0.423657672711543,0.385136938133541,0.396437160209549,0.373825340240671,0.417356620937763,0.344650244436738,0.408316619851908,0.282443059341541,0.273810779181986,0.374562008818949,0.395825625976454,0.836867887094264,0.800757219030976,0.588286146980111,0.621010015411588,0.282443059341541,0.273810779181986,0.356926073685702,0.437588446991925,0.332374415187773,0.379044792711891,-0.0276011921753551,0.0220506316911134,-0.0270602598843586,0.0155185988153673,-0.101524102086173,-0.0656017956865449
"5","04122022_1545","04122022_1545_A","0","0","5","10",-0.0407655515188614,0.0358513271974424,0.0415926755198378,0.0744650707412212,0.41603038863708,0.387232353252096,0.367373514067562,0.398598797809403,0.418371934976477,0.384651360553245,0.446263031968077,0.447541782533021,0.402520703219995,0.36235465481465,0.367373514067562,0.398598797809403,0.407076440125388,0.393414533805797,0.424984337148772,0.381050172698395,0.330574146624605,0.284753713957328,0.659107949193745,0.606469209103375,0.694268017678097,0.737443005520767,0.608735714028549,0.605810016769663,0.239244799309105,0.156165374012922,0.659107949193745,0.606469209103375,0.25321673734848,0.243876121661481,0.407931555900731,0.325631306253174,-0.0301562166827525,0.00240888192572425,0.210109478464336,0.0415926755198378,0.0187904845497119,0.112192497594419
"6","04122022_1545","04122022_1545_B","0","0","5","10",-0.0242037257138462,-0.0741810200688929,0.00276469103717394,-0.0880057937686686,0.398404484758028,0.462248609192745,0.39868369380243,0.418461655710383,0.40897333646164,0.411256532349271,0.391231974853916,0.533962617543229,0.331943987590754,0.36374479769246,0.39868369380243,0.418461655710383,0.392016582824786,0.484730093044291,0.404792386691269,0.439767125341198,0.402670807511915,0.480384818851956,0.302627356470027,0.300958627709402,0.401082704836538,0.404742370016754,0.718694935104039,0.843391908624807,0.611204702214858,0.632627653047635,0.302627356470027,0.300958627709402,0.426088920462256,0.511895685814825,0.379252694561573,0.448873951889086,-0.00454151315765616,-0.079827170954916,-0.0172233426330643,0.00276469103717394,-0.0914799291783069,-0.0840707850977975
"7","04122022_1545","04122022_1545_A","1","1","8","16",-0.00922065814929383,0.0577589484940681,0.0978749544838551,0.216269393363979,0.443934702948629,0.395452576318843,0.407111885308293,0.41468943434344,0.44443306182016,0.380042003958776,0.519552343683701,0.437383054959992,0.392768221017277,0.406974396338946,0.407111885308293,0.41468943434344,0.449672871965551,0.388164640091092,0.438196533931707,0.402740512546594,0.424874202846358,0.273777272171415,0.686779146422196,0.56432717241185,0.532851148036472,0.722656986054051,0.698412630369005,0.473691824757737,0.310929516567936,0.144973976563767,0.686779146422196,0.56432717241185,0.276379114959888,0.243106609503453,0.573369290732827,0.304447934839377,-0.151178501248876,0.191724214192982,0.364014627008412,0.0978749544838551,0.0640489312594833,0.306352334015949
"8","04122022_1545","04122022_1545_B","1","1","8","16",-0.00924835828597505,-0.00762539886260328,0.0325612640189211,0.170952105661126,0.394846301291393,0.400914293223713,0.375123139788456,0.382126455356264,0.426632909455733,0.448880585337375,0.418023607729367,0.353777599361472,0.368220926075671,0.322487549015987,0.375123139788456,0.382126455356264,0.40525431521503,0.409615681817691,0.384438287367756,0.392212904629734,0.497917389789701,0.352531381569012,0.306550819783673,0.287216989383446,0.368138572957037,0.380621304786209,0.779300328049616,0.832368508625466,0.628252677106016,0.5765513890314,0.306550819783673,0.287216989383446,0.549104698098295,0.376869682424342,0.446730081481108,0.328193080713683,-0.0166712082207122,-0.0329274720514734,0.0429126108781902,0.0325612640189211,0.186004083154807,0.152966134644493
"9","05122022_1600","05122022_1600_A","0","0","10","5",0.0272490947592562,-0.0426533692135659,0.0820008318919422,0.0442943721152202,0.418720580608409,0.456031713165147,0.445014377065779,0.421405227168716,0.477906197694236,0.425655566493153,0.471293508059629,0.451109394985984,0.417060907238056,0.423202037720146,0.445014377065779,0.421405227168716,0.47495847439176,0.521230156736851,0.362482686825059,0.390833269593442,0.358330825174335,0.327933191452577,0.442082751794244,0.375075126025936,0.550176246731512,0.461245513277842,0.36290403068899,0.297926279523941,0.123600684770946,0.102625564537142,0.442082751794244,0.375075126025936,0.420282754273564,0.376982184647907,0.296378896075107,0.278884198257248,0.0879264585456883,0.0983274377110694,0.0927174467947755,0.0820008318919422,0.0543113932543345,0.0304116464105236
"10","05122022_1600","05122022_1600_B","0","0","10","5",0.076806669632889,0.0258136548418739,0.0463848934154166,0.0235917647334476,0.376302853040969,0.357364224336695,0.452954423226166,0.388337585822384,0.455260801566809,0.396366618832076,0.341085734462386,0.325371122828584,0.327994292013998,0.34089236608606,0.452954423226166,0.388337585822384,0.327383877265842,0.345741139181833,0.425221828816095,0.368987309491557,0.64591882033876,0.61614451895933,0.584616792985658,0.53278617539524,0.943490245475452,0.937962509186487,0.541862775867519,0.529668189678681,0.952341889683576,0.957449365984804,0.584616792985658,0.53278617539524,0.941684130765032,0.939799299069871,0.350153509912488,0.292489738848789,0.00293801493301789,0.0113805261639096,-0.00267436364370627,0.0463848934154166,0.0010017795879957,0.0897290544557158
