"","session","person","ListenerChoice","minus_positive_sync","minus_negative_sync","minus_positive_listener_mean","minus_negative_listener_mean","nasalis_mean_corr_1","nasalis_mean_corr_2","zygomaticus_major_mean_corr_1","zygomaticus_major_mean_corr_2","frontalis_mean_corr_1","frontalis_mean_corr_2","orbicularis_oculi_mean_corr_1","orbicularis_oculi_mean_corr_2","platysima_mean_corr_1","platysima_mean_corr_2","risorius_mean_corr_1","risorius_mean_corr_2","listener_mean_negative_set_activation_1","listener_mean_negative_set_activation_2","listener_mean_positive_set_activation_1","listener_mean_positive_set_activation_2"
"1","04122022_1545","04122022_1545_1","1",-0.00885518018755168,-0.00320591816199637,0.0490308821454817,0.0106816873549409,0.375339249305028,0.413258737108718,0.325408135525913,0.311084291877458,0.30478553457357,0.317767828925465,0.327736190153712,0.326056167141058,0.332442042896503,0.358901747800952,0.361294527950337,0.339297254580429,0.372356743486219,0.364486019462649,0.320360759045267,0.290413936910421
"2","04122022_1545","04122022_1545_2","1",0.041355975607534,0.0240086608626286,0.00366916846109723,0.0641444189861335,0.363765392936449,0.344627009067014,0.365854883682655,0.302539336259553,0.352384937177511,0.306974445676571,0.344248511427033,0.334327384187179,0.312635098680609,0.330707499057487,0.387642244086071,0.336732775284196,0.287903713921514,0.253195236154858,0.508999819730636,0.505278262580239
"3","04122022_1545","04122022_1545_1","0",0.0663184901968557,-0.0374454347854699,-0.152334800318061,-0.032896856413966,0.348234770098979,0.335296270024234,0.343620497320203,0.318351195563326,0.316441286888223,0.290066858300831,0.320768806106843,0.267882091435191,0.317438213387337,0.354019525944917,0.317717703025747,0.330554242309846,0.355337102608189,0.379511305164726,0.318795669095694,0.433377875873033
"4","04122022_1545","04122022_1545_2","0",0.0241226061360784,0.0394029033039514,-0.0152370273687651,0.00557451108460235,0.330130029100151,0.334919199778392,0.334459151697771,0.319232847018462,0.337939768667303,0.341572306310637,0.368045700021162,0.331155016728217,0.37210154481148,0.336146703779686,0.373801116803102,0.353202853439411,0.262511578490432,0.259601055823041,0.525266970968772,0.541521658512871
"5","05122022_1600","05122022_1600_1","0",-0.022269038484212,-0.0501478767324488,0.0115246537666764,0.019473236871155,0.383058891884805,0.386316670869022,0.286403693670781,0.301926480525113,0.287694636910764,0.296105057676678,0.330798893517177,0.350562391290127,0.30453085573303,0.325422265716784,0.301526873620368,0.344629652963284,0.655261133774299,0.630228489838279,0.77174107946722,0.754155647999462
"6","05122022_1600","05122022_1600_2","0",0.0257823857268538,0.00745300112752561,0.00388774131144493,-0.0734650392357654,0.437822127924415,0.395158264487172,0.289648957951228,0.311480745951787,0.317570498345284,0.29916266451133,0.39645396662542,0.378968701824734,0.313283918608218,0.300157986215163,0.352469389131209,0.355745015559255,0.34930142027048,0.404693701472936,0.422382755151927,0.41911124416744
"7","05122022_1600","05122022_1600_1","1",-0.0584495065501246,-0.00236607721799881,-0.0155888047748003,-0.0105413804122926,0.362377612007822,0.396408714313836,0.30712762903729,0.326054145966963,0.292691060897881,0.323994415353306,0.330200878858379,0.376233210096037,0.306887821024668,0.286411868028094,0.306984118715231,0.330371898140755,0.631923494014664,0.645388121660536,0.751995114788207,0.775811798492937
"8","05122022_1600","05122022_1600_2","1",-0.00239780625298556,0.00843756213795742,-0.0310034699811638,-0.0169110402849219,0.407497738410959,0.424359881642581,0.304259226045157,0.315831169778015,0.326720526836414,0.314286194468952,0.388178677468739,0.404049629749594,0.316283550666529,0.309426479476109,0.31906545691135,0.31529064184128,0.312043864863013,0.322779386439597,0.39628943898787,0.421648348632828
"9","06122022_1215","06122022_1215_1","1",0.000544569926593843,-0.0162456498625905,0.000704884801655106,-0.0237740185541284,0.333614062576217,0.311756470563523,0.365904158634657,0.349220025820859,0.306319014734283,0.344342958363619,0.365140050904631,0.32638519248134,0.310550076844171,0.320464326733545,0.272152095769452,0.281483250932935,0.416523751964606,0.436810946928984,0.596726576928063,0.59588592250295
"10","06122022_1215","06122022_1215_2","1",-0.0242829230333653,-0.0268458885466818,0.0371263742160425,0.0216239304247545,0.356805237953113,0.313327143275481,0.345165223068506,0.333067753196116,0.310131957497638,0.325073753528338,0.350808534216484,0.36876473181284,0.349924978400195,0.367072407764268,0.292623012917725,0.310926847763088,0.640018752834793,0.612925180396482,0.503423578720384,0.467381120178377
"11","06122022_1215","06122022_1215_1","0",0.0032323616023113,0.0157105607354025,0.00763955577045315,-0.000782707771266552,0.328514527511514,0.395193702990654,0.37973483611774,0.357573566583582,0.315060671150503,0.359204579975024,0.376310319121831,0.327711288777228,0.350275600973973,0.328980450125574,0.294519006794449,0.295867363272863,0.446934591360901,0.447634777758048,0.53031639042239,0.52227505933844
"12","06122022_1215","06122022_1215_2","1",-0.0216002148664304,0.0139100995637767,-0.113510208246512,0.0206997305776731,0.293680603861887,0.296381609304836,0.292772724071464,0.313822148072878,0.300108830687748,0.295396984408494,0.309554078714247,0.341185084296829,0.345331374015491,0.335602065863195,0.309648608144688,0.301406230704644,0.629003511320819,0.603491202800109,0.475818099343161,0.597669951550209
"13","07122022_1030","07122022_1030_1","0",0.04622429485589,0.0353442358866339,-0.049841085448424,0.00341241617295093,0.44024693990845,0.364721786107206,0.369878279923627,0.321246156484601,0.31684043893097,0.30647454527169,0.371570043979953,0.321105216539713,0.353644873773923,0.332477413420436,0.345321828726569,0.318767105184525,0.205900617162797,0.20450015891711,0.539745418034667,0.596370677427949
